                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56628,                0.81002,                      1,                0.50562,              0.0033319,              0.0033319,              0.0033319
                      2,                0.58948,                0.77587,                      1,                0.51942,              0.0065992,              0.0065992,              0.0065992
                      3,                0.61513,                0.84116,                      1,                0.50447,              0.0098006,              0.0098006,              0.0098006
                      4,                0.45762,                0.85922,                      1,                0.47353,               0.009703,               0.009703,               0.009703
                      5,                0.39492,                0.87374,                      1,                0.46129,               0.009703,               0.009703,               0.009703
                      6,                0.38398,                0.87806,                      1,                 0.4588,               0.009604,               0.009604,               0.009604
                      7,                0.37364,                0.88002,                      1,                0.45685,               0.009505,               0.009505,               0.009505
                      8,                0.35493,                  0.874,                      1,                0.45456,               0.009406,               0.009406,               0.009406
                      9,                0.34493,                0.87727,                      1,                0.44729,               0.009307,               0.009307,               0.009307
                     10,                0.35099,                0.88368,                      1,                 0.4476,               0.009208,               0.009208,               0.009208
                     11,                0.33952,                0.88486,                      1,                0.44641,               0.009109,               0.009109,               0.009109
                     12,                0.33197,                 0.8846,                      1,                0.44607,                0.00901,                0.00901,                0.00901
                     13,                0.32833,                0.88525,                      1,                0.44548,               0.008911,               0.008911,               0.008911
                     14,                0.32716,                 0.8901,                      1,                0.44259,               0.008812,               0.008812,               0.008812
                     15,                0.32091,                0.88839,                      1,                0.43974,               0.008713,               0.008713,               0.008713
                     16,                0.31314,                0.88696,                      1,                0.43877,               0.008614,               0.008614,               0.008614
                     17,                0.31664,                0.89036,                      1,                0.43612,               0.008515,               0.008515,               0.008515
                     18,                0.31761,                0.89324,                      1,                0.43466,               0.008416,               0.008416,               0.008416
                     19,                0.31569,                0.89467,                      1,                0.43486,               0.008317,               0.008317,               0.008317
                     20,                0.30756,                0.89546,                      1,                0.43264,               0.008218,               0.008218,               0.008218
                     21,                0.31133,                 0.8935,                      1,                0.43322,               0.008119,               0.008119,               0.008119
                     22,                0.29769,                0.89389,                      1,                0.43298,                0.00802,                0.00802,                0.00802
                     23,                0.31055,                0.89572,                      1,                0.43231,               0.007921,               0.007921,               0.007921
                     24,                0.30289,                0.89598,                      1,                0.43219,               0.007822,               0.007822,               0.007822
                     25,                  0.302,                0.89572,                      1,                0.43152,               0.007723,               0.007723,               0.007723
                     26,                 0.3008,                0.89572,                      1,                0.43146,               0.007624,               0.007624,               0.007624
                     27,                0.30351,                0.89559,                      1,                0.43131,               0.007525,               0.007525,               0.007525
                     28,                0.31987,                0.89611,                      1,                0.43163,               0.007426,               0.007426,               0.007426
                     29,                0.30386,                0.89638,                      1,                0.43122,               0.007327,               0.007327,               0.007327
                     30,                0.30186,                0.89703,                      1,                 0.4311,               0.007228,               0.007228,               0.007228
                     31,                0.29041,                 0.8969,                      1,                 0.4307,               0.007129,               0.007129,               0.007129
                     32,                0.29888,                0.89677,                      1,                0.43068,                0.00703,                0.00703,                0.00703
                     33,                0.29931,                0.89716,                      1,                0.43043,               0.006931,               0.006931,               0.006931
